Region,Title,Rank,Source
HK,Burn After Reading,10,Netflix
HK,Plankton: The Movie,10,Netflix
HK,Love Happens,10,Netflix
HK,Mr Bean's Holiday,10,Netflix
HK,She Said Maybe,10,Netflix
HK,Sleepless in Seattle,10,Netflix
HK,The Carman Family Deaths,10,Netflix
HK,The Stepfather,10,Netflix
HK,The Tuxedo,10,Netflix
HK,Trainwreck: The Real Project X,10,Netflix
HK,Wallace & Gromit: Vengeance Most Fowl,10,Netflix
JP,A HOUSE OF DYNAMITE,1,Netflix
JP,All About Suomi,1,Netflix
JP,Back in Action,1,Netflix
JP,Chainsaw Man â The Compilation,1,Netflix
JP,Cells At Work!,1,Netflix
JP,Bullet Train Explosion,1,Netflix
JP,Demon City,1,Netflix
JP,Crayon Shin-chan the Movie: Our Dinosaur Diary,1,Netflix
JP,Detective Conan the Movie: The Bride of Halloween,1,Netflix
JP,Detective Conan the Movie: Black Iron Submarine,1,Netflix
JP,Kingdom: Return of The Great General,1,Netflix
JP,KPop Demon Hunters,1,Netflix
JP,Faceless,1,Netflix
JP,Don't Lose Your Head!,1,Netflix
JP,Do Unto Others,1,Netflix
JP,Detective Conan: The Million-Dollar Pentagram,1,Netflix
JP,Haikyu!!: The Dumpster Battle,1,Netflix
JP,Honeko Akabaneâs Bodyguards,1,Netflix
JP,Wall to Wall,1,Netflix
JP,Tokyo MER: Mobile Emergency Room - The Movie,1,Netflix
JP,Sin and Evil,1,Netflix
JP,Sunset Sunrise,1,Netflix
JP,Summer Wars,1,Netflix
JP,Spy x Family Code: White,1,Netflix
JP,OVERLORD:The Sacred Kingdom,1,Netflix
JP,Phases of the Moon,1,Netflix
JP,Revolver Lily,1,Netflix
JP,Muroi Shinji: Stay Alive,1,Netflix
JP,Men in Black: International,1,Netflix
JP,Muroi Shinji: Not Defeated,1,Netflix
JP,Mantis,1,Netflix
JP,Lovesick Ellie,1,Netflix
JP,The Old Guard 2,1,Netflix
JP,The Roundup: Punishment,1,Netflix
JP,Godzilla x Kong: The New Empire,2,Netflix
JP,Grave of the Fireflies,2,Netflix
JP,Shin Jigen! Crayon Shin-chan the Movie,2,Netflix
JP,The Thursday Murder Club,2,Netflix
JP,The Old Guard,2,Netflix
JP,The Last Town We Saw,2,Netflix
JP,The Woman in Cabin 10,2,Netflix
JP,Troll 2,2,Netflix
JP,Mission: Impossible - Dead Reckoning,2,Netflix
JP,M3GAN,2,Netflix
JP,The Super Mario Bros. Movie,2,Netflix
JP,The Expendables 4,2,Netflix
JP,The Equalizer 3,2,Netflix
JP,The Electric State,2,Netflix
JP,Detective Conan the Movie: The Scarlet Bullet,2,Netflix
JP,Exterritorial,2,Netflix
JP,Detective Conan the  Movie: Zero the Enforcer,2,Netflix
JP,Dr. Coto's Clinic 2022,2,Netflix
JP,K.O.,2,Netflix
JP,Love You as the World Ends Final The Movie,2,Netflix
JP,Hey Handsome!! The Movie,2,Netflix
JP,Frankenstein,2,Netflix
JP,Crows Explode,2,Netflix
JP,Detective Conan the Movie: Crossroad in the Ancient Capital,2,Netflix
JP,28 Weeks Later,2,Netflix
