country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2025-06-08,Films,5,Detective Conan: The Million-Dollar Pentagram,,8
Japan,JP,2025-06-08,Films,6,Road to King Side Story Yamazaki Group Joji and His Cheerful Friends,,1
Japan,JP,2025-06-08,Films,7,Sunset Sunrise,,4
Japan,JP,2025-06-08,Films,8,The Super Mario Bros. Movie,,6
Japan,JP,2025-06-08,Films,9,The Equalizer 3,,5
Japan,JP,2025-06-08,Films,10,A Widow's Game,,1
Japan,JP,2025-06-01,Films,1,Phases of the Moon,,1
Japan,JP,2025-06-01,Films,2,Mission: Impossible - Dead Reckoning,,8
Japan,JP,2025-06-01,Films,3,Bullet Train Explosion,,6
Japan,JP,2025-06-01,Films,4,Sunset Sunrise,,3
Japan,JP,2025-06-01,Films,5,The Wrath of Becky,,1
Japan,JP,2025-06-01,Films,6,Detective Conan: The Million-Dollar Pentagram,,7
Japan,JP,2025-06-01,Films,7,The Equalizer 3,,4
Japan,JP,2025-06-01,Films,8,Fear Street: Prom Queen,,2
Japan,JP,2025-06-01,Films,9,The Equalizer,,3
Japan,JP,2025-06-01,Films,10,The Equalizer 2,,5
Japan,JP,2025-05-25,Films,1,Sunset Sunrise,,2
Japan,JP,2025-05-25,Films,2,Bullet Train Explosion,,5
Japan,JP,2025-05-25,Films,3,Mission: Impossible - Dead Reckoning,,7
Japan,JP,2025-05-25,Films,4,The Equalizer 3,,3
Japan,JP,2025-05-25,Films,5,Detective Conan: The Million-Dollar Pentagram,,6
Japan,JP,2025-05-25,Films,6,The Equalizer,,2
Japan,JP,2025-05-25,Films,7,The Equalizer 2,,4
Japan,JP,2025-05-25,Films,8,Exterritorial,,4
Japan,JP,2025-05-25,Films,9,Fear Street: Prom Queen,,1
Japan,JP,2025-05-25,Films,10,Detective Conan the Movie: Black Iron Submarine,,13
Japan,JP,2025-05-18,Films,1,Bullet Train Explosion,,4
Japan,JP,2025-05-18,Films,2,The Equalizer 3,,2
Japan,JP,2025-05-18,Films,3,Detective Conan: The Million-Dollar Pentagram,,5
Japan,JP,2025-05-18,Films,4,Sunset Sunrise,,1
Japan,JP,2025-05-18,Films,5,The Equalizer,,1
Japan,JP,2025-05-18,Films,6,Mission: Impossible - Dead Reckoning,,6
Japan,JP,2025-05-18,Films,7,The Equalizer 2,,3
Japan,JP,2025-05-18,Films,8,Exterritorial,,3
Japan,JP,2025-05-18,Films,9,Detective Conan the Movie: The Bride of Halloween,,8
Japan,JP,2025-05-18,Films,10,Detective Conan the Movie: The Scarlet Bullet,,5
Japan,JP,2025-05-11,Films,1,Bullet Train Explosion,,3
Japan,JP,2025-05-11,Films,2,Exterritorial,,2
Japan,JP,2025-05-11,Films,3,Detective Conan: The Million-Dollar Pentagram,,4
Japan,JP,2025-05-11,Films,4,Inside Man: Most Wanted,,1
Japan,JP,2025-05-11,Films,5,The Equalizer 3,,1
Japan,JP,2025-05-11,Films,6,The Match,,1
Japan,JP,2025-05-11,Films,7,Detective Conan the Movie: The Bride of Halloween,,7
Japan,JP,2025-05-11,Films,8,Last Bullet,,1
Japan,JP,2025-05-11,Films,9,The Light of a Firefly Forest,,2
Japan,JP,2025-05-11,Films,10,Detective Conan the Movie: Black Iron Submarine,,12
Japan,JP,2025-05-04,Films,1,Bullet Train Explosion,,2
Japan,JP,2025-05-04,Films,2,Detective Conan: The Million-Dollar Pentagram,,3
Japan,JP,2025-05-04,Films,3,Exterritorial,,1
Japan,JP,2025-05-04,Films,4,The Rose of Versailles,,1
Japan,JP,2025-05-04,Films,5,Havoc,,2
Japan,JP,2025-05-04,Films,6,Detective Conan the Movie: The Bride of Halloween,,6
Japan,JP,2025-05-04,Films,7,Detective Conan the Movie: Black Iron Submarine,,11
Japan,JP,2025-05-04,Films,8,Detective Conan the Movie: The Fist of Blue Sapphire,,3
Japan,JP,2025-05-04,Films,9,Detective Conan the Movie: The Lost Ship in the Sky,,4
Japan,JP,2025-05-04,Films,10,The Light of a Firefly Forest,,1
Japan,JP,2025-04-27,Films,1,Bullet Train Explosion,,1
Japan,JP,2025-04-27,Films,2,Detective Conan: The Million-Dollar Pentagram,,2
Japan,JP,2025-04-27,Films,3,Detective Conan the Movie: The Fist of Blue Sapphire,,2
Japan,JP,2025-04-27,Films,4,iHostage,,1
Japan,JP,2025-04-27,Films,5,Detective Conan : The Private Eyes' Requiem,,3
Japan,JP,2025-04-27,Films,6,Detective Conan the Movie: The Lost Ship in the Sky,,3
Japan,JP,2025-04-27,Films,7,Detective Conan the Movie: Sunflowers of Inferno,,3
Japan,JP,2025-04-27,Films,8,Detective Conan the Movie: Eleventh Striker,,3
Japan,JP,2025-04-27,Films,9,Havoc,,1
Japan,JP,2025-04-27,Films,10,Detective Conan the Movie: Black Iron Submarine,,10
Japan,JP,2025-04-20,Films,1,Detective Conan: The Million-Dollar Pentagram,,1
Japan,JP,2025-04-20,Films,2,Detective Conan the Movie: The Scarlet Bullet,,4
Japan,JP,2025-04-20,Films,3,Silence of the Sea,,1
Japan,JP,2025-04-20,Films,4,Detective Conan the Movie: Dimensional Sniper,,3
Japan,JP,2025-04-20,Films,5,Detective Conan the Movie: Quarter of Silence,,3
Japan,JP,2025-04-20,Films,6,Twisters,,1
Japan,JP,2025-04-20,Films,7,Detective Conan the Movie: The Crimson Love Letter,,5
Japan,JP,2025-04-20,Films,8,Detective Conan the Movie: Private Eye in the Distant Sea,,3
Japan,JP,2025-04-20,Films,9,Detective Conan the Movie: The Phantom of Baker Street,,3
Japan,JP,2025-04-20,Films,10,Detective Conan the Movie: Jolly Roger in the Deep Azure,,3
Japan,JP,2025-04-13,Films,1,Detective Conan the Movie: The Bride of Halloween,,5
Japan,JP,2025-04-13,Films,2,Detective Conan the Movie: Crossroad in the Ancient Capital,,3
Japan,JP,2025-04-13,Films,3,Detective Conan: The Story of Ai Haibara: Black Iron Mystery Train,,3
Japan,JP,2025-04-13,Films,4,Detective Conan the Movie: Captured in Her Eyes,,1
Japan,JP,2025-04-13,Films,5,In an Isolated Cottage on a Snowy Mountain,,1
Japan,JP,2025-04-13,Films,6,Detective Conan the Movie: The Fourteenth Target,,1
Japan,JP,2025-04-13,Films,7,Detective Conan the Movie: Black Iron Submarine,,9
Japan,JP,2025-04-13,Films,8,Detective Conan the Movie: The Scarlet Bullet,,3
Japan,JP,2025-04-13,Films,9,Golden Kamuy,,5
Japan,JP,2025-04-13,Films,10,Detective Conan the Movie: The Crimson Love Letter,,4
Japan,JP,2025-04-06,Films,1,Detective Conan the Movie: Black Iron Submarine,,8
Japan,JP,2025-04-06,Films,2,Detective Conan the  Movie: Zero the Enforcer,,5
Japan,JP,2025-04-06,Films,3,Detective Conan the Movie: Raven Chaser,,5
Japan,JP,2025-04-06,Films,4,Detective Conan the Movie: The Bride of Halloween,,4
Japan,JP,2025-04-06,Films,5,Detective Conan the Movie: The Darkest Nightmare,,4
Japan,JP,2025-04-06,Films,6,Perfect Blue,,1
Japan,JP,2025-04-06,Films,7,Revelations,,3
Japan,JP,2025-04-06,Films,8,The Life List,,1
Japan,JP,2025-04-06,Films,9,The Last Voyage of the Demeter,,1
Japan,JP,2025-04-06,Films,10,Detective Conan the Movie: The Time-Bombed Skyscraper,,2
Japan,JP,2025-03-30,Films,1,Detective Conan the Movie: Black Iron Submarine,,7
Japan,JP,2025-03-30,Films,2,Detective Conan the  Movie: Zero the Enforcer,,4
Japan,JP,2025-03-30,Films,3,Revelations,,2
Japan,JP,2025-03-30,Films,4,Detective Conan the Movie: Raven Chaser,,4
Japan,JP,2025-03-30,Films,5,Lovesick Ellie,,2
Japan,JP,2025-03-30,Films,6,Living in Two Worlds,,2
Japan,JP,2025-03-30,Films,7,Detective Conan the Movie: The Darkest Nightmare,,3
Japan,JP,2025-03-30,Films,8,Yudo,,1
Japan,JP,2025-03-30,Films,9,Faceless,,9
Japan,JP,2025-03-30,Films,10,Detective Conan the Movie: The Time-Bombed Skyscraper,,1
Japan,JP,2025-03-23,Films,1,Lovesick Ellie,,1
Japan,JP,2025-03-23,Films,2,The Electric State,,2
Japan,JP,2025-03-23,Films,3,Faceless,,8
Japan,JP,2025-03-23,Films,4,Detective Conan the Movie: Black Iron Submarine,,6
